School_Id,Org_Name,Telephone,Fax,Email,Contact1_Name,URL,Add1_Line1,Add1_Suburb,Add1_City,Add2_Line1,Add2_Suburb,Add2_City,Add2_Postal_Code,Urban_Area,Org_Type,Definition,Authority,CoEd_Status,Territorial_Authority,Regional_Council,Local_Office_Name,Education_Region,General_Electorate,Māori_Electorate,Area_Unit,Ward,Col_Id,Col_Name,Longitude,Latitude,Decile,Roll_Date,Total,European,Māori,Pacific,Asian,MELAA,Other,International
1851,Ngati Haua School,07 827 3049,07 827 3049,admin@ngatihaua.school.nz,Elaine Hinetai Tait,,Pukemoremore Road,,Cambridge,Pukemoremore Road RD 1,,Cambridge,3493,Main Urban Area,Full Primary,Designated Character School,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Tamahere-Tauwhare,Eureka Ward,99084,Tainui Kāhui Kura Community of Learning,175.478632,-37.798247,3,00:00.0,90,2,88,0,0,0,0,0
1852,Ngongotaha School,07 357 4531,07 357 4921,,Craig McFadyen,http://ngongotaha.school.nz,School Road,Ngongotaha,Rotorua,P O Box 195,Ngongotaha,Rotorua,3041,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Rotorua,Waiariki,Ngongotaha North,Area Outside Ward,99107,Te Maru o Ngongotaha (Rotorua) Community of Learning,176.209653,-38.079804,4,00:00.0,406,162,222,11,6,3,2,0
1853,Ngutunui School,07 871 9426,07 871 9426,office@ngutunui.school.nz,Michelle Chettleburgh,http://www.ngutunui.school.nz,400 Ngutunui Road,Puketotara,Pirongia,400 Ngutunui Road RD 6,,Te Awamutu,3876,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Otorohanga District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otorohanga Rural West,Kawhia-Tihiroa Ward,,,175.115991,-38.076121,6,00:00.0,46,28,14,1,0,2,1,0
1854,Nukuhou North School,07 312 3206,07 312 3699,,Margaret Verboom ,http://www.nukuhou.school.nz,State Highway 2,,Whakatane,State Highway 2 RD 1,,Waimana,3196,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Urewera,Taneatua-Waimana Ward,99016,Whakatane Community of Learning,177.126408,-38.126712,3,00:00.0,75,24,49,2,0,0,0,0
1855,Ohaupo School,07 823 6736,07 823 6732,office@ohaupo.school.nz,Susan McLocklan ,http://www.ohaupo.school.nz,4010 Great South Road,,Ohaupo,4010 Ohaupo Road RD 1,,Ohaupo,3881,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Lake Cameron,Pirongia Ward,,,175.315726,-37.905308,8,00:00.0,220,178,33,0,6,3,0,0
1856,Ohinewai School,07 828 8919,07 828 8918,office@ohinewai.school.nz,Nesan Govender,http://www.ohinewai.school.nz,39 Ohinewai South Road,Ohinewai,Huntly,39 Ohinewai South Road RD 1,,Huntly,3771,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Whitikahu,Huntly Ward,99193,Tō Tātou Haerenga,175.157807,-37.492885,3,00:00.0,144,64,72,3,3,2,0,0
1857,Ohope Beach School,07 312 4617,07 312 5895,office@ohopebeach.school.nz,Anthony Horsfall,http://www.ohopebeach.school.nz,Pohutukawa Avenue,,Ohope Beach,Pohutukawa Avenue,,Ohope,3121,Secondary Urban Area,Contributing,Not Applicable,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Ohope,Whakatane-Ohope Ward,99016,Whakatane Community of Learning,177.049332,-37.969635,9,00:00.0,275,181,73,2,10,8,1,0
1858,Kuranui Primary School,07 883 4866,07 883 4866,office@kuranui.school.nz,Paula Hastings,http://www.kuranui.school.nz,66 Waiomou Road,,Tirau,66 Waiomou Road RD 2,,Tirau,3485,Rural Area,Contributing,Not Applicable,State,Co-Educational,South Waikato District,Waikato Region,Hamilton,Waikato,Taupo,Te Tai Hauauru,Tapapa,Tirau Ward,99104,Matamata Community of Learning,175.838375,-37.940603,8,00:00.0,58,43,13,1,1,0,0,0
1860,Omanu School,07 575 5868,07 575 5868,,Brett Larsen,http://www.omanu.school.nz,Tui Street,,Mount Maunganui,Tui Street,,Mount Maunganui,3116,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Omanu,Mount Maunganui-Papamoa Ward,99064,Mt Maunganui Community of Learning,176.20628,-37.658573,7,00:00.0,599,453,99,12,22,8,5,0
1861,Omarumutu School,07 315 8140,07 315 8427,omarumutu@xtra.co.nz,Maria Sheridan,,Omarumutu Road,,Opotiki,Omarumutu Road RD 1,,Opotiki,3197,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Waiotahi,Waioeka-Waiotahi Ward,99037,Ōpōtiki Community of Learning,177.4051,-37.996516,1,00:00.0,72,1,70,1,0,0,0,0
1862,Omokoroa Point School,07 548 0748,07 548 0748,principal@omokoroapoint.school.nz,Vicki Knell,http://www.omokoroapoint.school.nz,37 Hamurana Road,,Omokoroa,37 Hamurana Road,,Omokoroa,3114,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Omokoroa,Kaimai Ward,,,176.042465,-37.635815,9,00:00.0,285,235,32,0,6,10,2,0
1863,Omokoroa School,07 548 0755,07 548 0471,reception@omokoroa.school.nz,Craig Pentecost,http://www.omokoroa.school.nz,Plummers Point Road,,Whakamarama,Plummers Point Road RD 2,,Tauranga,3172,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Te Puna,Kaimai Ward,,,176.03216,-37.672664,10,00:00.0,317,280,25,4,6,2,0,0
1865,Te Wharekura o Maniapoto,07 878 6884,07 878 6372,tkkmop@xtra.co.nz,Hirere Moana ,,"308 Oparure Road, RD 5",,Te Kuiti,308 Oparure Road RD 5,,Te Kuiti,3985,Rural Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Marokopa,Waitomo Rural Ward,99106,Waitomo Arotahi Kāhui Ako,175.11631,-38.31504,3,00:00.0,100,0,100,0,0,0,0,0
1866,Opotiki School,07 315 6362,,opotikiprimary@opotiki.school.nz,Tony Howe,http://www.opotikiprimary.school.nz,Church Street,,Opotiki,Church Street,,Opotiki,3122,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Opotiki District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Opotiki,Opotiki Ward,99037,Ōpōtiki Community of Learning,177.284974,-38.009232,1,00:00.0,284,10,269,5,0,0,0,0
1867,Opoutere School,07 865 9077,07 865 9055,,Jethro Dyer,http://www.opoutereschool.net,1203 Tairua Road,,Whangamata,1203 Tairua Road RD 1,,Whangamata,3691,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Hikuai,South Eastern Ward,99155,Coromandel Community of Learning,175.84603,-37.129688,4,00:00.0,105,59,46,0,0,0,0,0
1869,Orini Combined School,07 824 4847,07 824 4605,office@orini.school.nz,Emily Hargreaves,http://www.orini.school.nz,1389 Orini Road,,Taupiri,1389 Orini Road RD 2,,Taupiri,3792,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Whitikahu,Hukanui-Waerenga Ward,99131,Morrinsville Community of Learning,175.316114,-37.554641,8,00:00.0,102,76,19,2,4,1,0,0
1870,Oropi School,07 543 1479,,office@oropi.school.nz,Andrew King,http://www.oropi.school.nz,Oropi Road,Oropi,Tauranga,1334 Oropi Road RD 3,,Tauranga,3173,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Rotorua,Waiariki,Kaimai,Kaimai Ward,99085,Tauranga Peninsula Community of Learning,176.159142,-37.839058,9,00:00.0,331,261,54,2,7,0,0,7
1871,Otakiri School,07 304 8101,07 304 8168,office@otakiri.school.nz,Michael Mokai,http://www.otakiri.school.nz,571 Otakiri Road,,Whakatane,571 Otakiri Road RD 3,,Whakatane,3193,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Otakiri,Rangitaiki Ward,99038,Pūtauaki ki Rangitaiki Kāhui Ako,176.762962,-37.986227,5,00:00.0,184,112,58,1,9,3,1,0
1872,Otamarakau School,07 533 3783,07 533 3783,office@otamarakau.school.nz,Andrea Dance,http://www.otamarakau.school.nz/,2216 Old Coach Road,,Te Puke,2216 Old Coach Road RD 6,,Te Puke,3186,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Pongakawa,Maketu-Te Puke Ward,99086,Te Puke Community of Learning,176.588269,-37.837262,7,00:00.0,77,34,36,0,2,4,1,0
1873,TKKM o Otepou,07 544 2525,07 544 2532,otepouadmin@xtra.co.nz,Vianney Douglas,http://www.otepou.school.nz/,759 Welcome Bay Road,Tauranga Central,Tauranga,759 Welcome Bay Road,Welcome Bay,Tauranga,3112,Main Urban Area,Full Primary,Kura Kaupapa Maori,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Kairua,Mount Maunganui-Papamoa Ward,99212,Tauranga Moana Kāhui Ako,176.24157,-37.718292,3,00:00.0,70,0,69,0,1,0,0,0
1874,Otewa School,07 873 0859,,office@otewa.school.nz,Suzanne Wright,,916 Otewa Road,,Otorohanga,916 Otewa Road RD 5,,Otorohanga,3975,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Otorohanga District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otorohanga Rural East,Waipa Ward,99194,Nga Awa ki te Moana Kāhui Ako,175.289157,-38.228049,6,00:00.0,67,53,9,2,3,0,0,0
1875,Otonga Road School,07 348 6443,07 346 0437,otonga@otonga.school.nz,Linda Woon,http://www.otonga.school.nz,Otonga Road,Springfield,Rotorua,Otonga Road,Springfield,Rotorua,3015,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Rotorua,Waiariki,Springfield,Area Outside Ward,,,176.234478,-38.161947,7,00:00.0,579,319,138,13,88,17,2,2
1876,Otorohanga School,07 873 7334,07 873 6972,office@oto.school.nz,Catriona Chrystall ,http://www.otoprimary.school.nz,95 Phillips Avenue,,Otorohanga,P O Box 137,,Otorohanga,3940,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Otorohanga District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otorohanga,Otorohanga Ward,99194,Nga Awa ki te Moana Kāhui Ako,175.225467,-38.188405,2,00:00.0,59,15,36,0,7,0,1,0
1877,Otorohanga South School,07 873 8530,,accounts@otosouth.school.nz,Shawn Gielen  ,http://www.otosouth.school.nz,Rangipare Street,,Otorohanga,2 Rangipare Street,,Otorohanga,3900,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Otorohanga District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otorohanga,Otorohanga Ward,99194,Nga Awa ki te Moana Kāhui Ako,175.203182,-38.187926,4,00:00.0,335,152,147,12,20,3,1,0
1878,Otumoetai Intermediate,07 576 5105,07 576 3428,admin@otuinter.school.nz,Hendrick Popping,http://www.otuinter.school.nz,5 Charles Street,Otumoetai,Tauranga,5 Charles Street,Bellevue,Tauranga,3110,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Bellevue,Otumoetai-Pyes Pa Ward,99036,Ōtūmoetai Community of Learning,176.129618,-37.675415,7,00:00.0,792,536,157,16,44,10,6,23
1879,Otumoetai Primary School,07 576 6751,07 576 4170,office@ops.school.nz,Geoffrey Opie ,http://www.ops.school.nz,236 Otumoetai Road,Otumoetai,Tauranga,P O Box 6046,Brookfield,Tauranga,3146,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Otumoetai South,Otumoetai-Pyes Pa Ward,99036,Ōtūmoetai Community of Learning,176.135992,-37.682063,6,00:00.0,576,376,138,12,42,8,0,0
1880,St Mary's Catholic School (Otorohanga),07 873 8801,07 873 8801,stmary-oto@xtra.co.nz,Deirdre Gray-Edwards,,38 Hinewai Street,,Otorohanga,38 Hinewai Street,,Otorohanga,3900,Minor Urban Area,Full Primary,Not Applicable,State : Integrated,Co-Educational,Otorohanga District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Otorohanga,Otorohanga Ward,99194,Nga Awa ki te Moana Kāhui Ako,175.209676,-38.182242,4,00:00.0,34,9,19,5,0,0,1,0
1881,Owhata School,07 345 6051,07 345 3198,owhata@owhata.school.nz,Robert Stiles,http://www.owhata.school.nz,Brent Road,Owhata,Rotorua,Brent Road,Owhata,Rotorua,3010,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Rotorua District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Rotorua,Waiariki,Owhata East,Area Outside Ward,99017,Eastern Rotorua Kāhui Ako,176.298638,-38.138101,2,00:00.0,253,30,205,10,5,0,3,0
1882,Paengaroa School,07 533 1227,07 281 1322,office@paengaroa.school.nz,Bruce Lendrem,http://www.paengaroa.school.nz,Old Coach Road,,Paengaroa,Old Coach Road RD 9,,Te Puke,3189,Rural Area,Contributing,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Paengaroa,Maketu-Te Puke Ward,99086,Te Puke Community of Learning,176.414688,-37.824909,4,00:00.0,219,100,102,4,13,0,0,0
1883,Paeroa Central School,07 862 8342,07 862 7941,admin@paeroacentral.school.nz,Mona Hingston,,Wood Street,,Paeroa,Wood Street,,Paeroa,3600,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Hauraki District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Paeroa,Paeroa Ward,99070,Ohinemuri Community of Learning,175.676937,-37.382129,1,00:00.0,72,3,68,1,0,0,0,0
1884,Pahoia School,07 548 0723,,office@pahoia.school.nz,Mike McKee,http://www.pahoia.school.nz,29 Esdaile Road,,Tauranga,29 Esdaile Road RD 8,,Tauranga,3180,Rural Area,Contributing,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Minden,Kaimai Ward,,,175.996266,-37.655218,9,00:00.0,201,160,23,5,9,2,2,0
1885,Papamoa Primary School,07 542 0865,07 542 3177,admin@papamoa.school.nz,Phillip Friar,http://www.papamoa.school.nz,312 Dickson Road,,Papamoa,312 Dickson Road,Papamoa Beach,Papamoa,3118,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Doncaster,Mount Maunganui-Papamoa Ward,99073,Papamoa Community of Learning,176.313865,-37.70959,6,00:00.0,657,456,146,9,28,16,2,0
1886,Parawai School,07 868 8117,07 868 7603,administration@parawai.school.nz,Hayden Iles,http://www.parawai.school.nz,106 Lowe Avenue,Parawai,Thames,106 Lowe Avenue,,Thames,3500,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Parawai,Thames Ward,99087,Thames Kauaeranga Community of Learning,175.560612,-37.155467,5,00:00.0,258,163,71,7,14,3,0,0
1888,Te Kura o Te Paroa,07 308 6652,07 307 8374,office@paroa.school.nz,Erin Te Pou,http://www.paroa.school.nz,Paroa Road,,Whakatane,34 Paroa Road RD 1,,Whakatane,3191,Secondary Urban Area,Full Primary,Designated Character School,State,Co-Educational,Whakatane District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Poroporo,Rangitaiki Ward,99016,Whakatane Community of Learning,176.940275,-37.952172,2,00:00.0,260,0,260,0,0,0,0,0
1889,Paterangi School,07 871 5203,07 871 5216,principal@paterangi.school.nz,Mark Harrop,http://www.paterangi.school.nz,1326 Paterangi Road,Paterangi,Ohaupo,1326 Paterangi Road RD 3,,Ohaupo,3883,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Lake Ngaroto,Pirongia Ward,,,175.244895,-37.95075,7,00:00.0,124,85,31,2,4,2,0,0
1891,Patricia Avenue School,07 856 9350,07 856 7146,office@patave.school.nz,Andrea Neil,http://www.patave.school.nz,20 Patricia Avenue,Hamilton East,Hamilton,P O Box 506,Waikato Mail Centre,Hamilton,3240,Main Urban Area,Special School,School for pupils with intellectual impairments,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton East,Hauraki-Waikato,Peachgrove,East Ward,,,175.301529,-37.786095,4,00:00.0,193,83,75,15,12,7,1,0
1892,Peachgrove Intermediate,07 855 7596,07 855 5399,enquiries@peachgrove.school.nz,Louisa Barham,http://www.peachgrove.school.nz/,72 Peachgrove Road,Hamilton East,Hamilton,P O Box 1344,Waikato Mail Centre,Hamilton,3240,Main Urban Area,Intermediate,Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton East,Hauraki-Waikato,Peachgrove,East Ward,99056,He Piko He Taniwha Kaahui Ako,175.298632,-37.784703,5,00:00.0,480,112,177,54,85,37,12,3
1893,Pekerau School,07 871 6025,,principal@pekerau.school.nz,Tania Heke,http://www.pekerau.school.nz,742 Te Rahu Road,,Te Awamutu,P O Box 233,,Te Awamutu,3840,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Te Awamutu East,Te Awamutu Ward,,,175.338817,-38.003312,4,00:00.0,294,119,151,10,7,4,3,0
1894,Pillans Point School,07 576 9407,07 576 9407,office@pillanspoint.school.nz,Matthew Simeon,http://www.pillanspoint.school.nz,101 Maxwells Road,Pillans Point,Tauranga,101 Maxwells Road,Otumoetai,Tauranga,3110,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Tauranga City,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Tauranga,Waiariki,Otumoetai North,Otumoetai-Pyes Pa Ward,99036,Ōtūmoetai Community of Learning,176.156878,-37.671856,8,00:00.0,570,407,88,5,40,10,1,19
1895,Piopio Primary School,07 877 8103,07 877 8903,office@ppp.school.nz,Scott Lincoln,http://www.schoolground.co.nz/piopioprim,14 Aria Road,,Piopio,14 Aria Road,,Piopio,3912,Rural Area,Contributing,Not Applicable,State,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Piopio,Waitomo Rural Ward,99106,Waitomo Arotahi Kāhui Ako,175.014754,-38.471544,5,00:00.0,146,84,55,4,2,0,1,0
1896,Piripiri School,07 876 7522,07 876 7523,office@piripiri.school.nz,Mandy Woods,http://www.piripiri.school.nz,2703 Te Anga Road,,Te Kuiti,2703 Te Anga Road RD 8,,Te Kuiti,3988,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Marokopa,Waitomo Rural Ward,,,174.875746,-38.255003,5,00:00.0,19,9,10,0,0,0,0,0
1897,Pirongia School,07 871 9727,07 871 9075,finance@pirongia.school.nz,Janette Cullen,http://www.pirongia.school.nz,100 Beechey Street,,Pirongia,P O Box 34020,,Pirongia,3844,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Pirongia,Pirongia Ward,,,175.203273,-37.988667,10,00:00.0,397,328,57,3,4,5,0,0
1898,Pokuru School,07 871 2844,07 871 2806,office@pokuru.school.nz,Vicki Robinson,http://www.pokuru.school.nz,873/2 Pokuru Road,,Pokuru,P O Box 246,,Te Awamutu,3840,Rural Area,Contributing,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Pokuru,Kakepuku Ward,,,175.23641,-38.056184,6,00:00.0,157,114,41,0,1,1,0,0
1899,Pongakawa School,07 533 3731,07 533 3521,office@pongakawa.school.nz,Craig Haggo,http://www.pongakawa.school.nz,RD 6 Old Coach Road,,Te Puke,Old Coach Road RD 6,,Te Puke,3186,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Pongakawa,Maketu-Te Puke Ward,99086,Te Puke Community of Learning,176.476931,-37.837499,6,00:00.0,334,223,94,1,11,3,2,0
1902,Puahue School,07 872 1838,,office@puahue.school.nz,Scott Wilson,http://www.puahue.school.nz,573 Puahue Road,,Te Awamutu,573 Puahue Road RD 1,,Te Awamutu,3879,Rural Area,Contributing,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Hauraki-Waikato,Rotoorangi,Kakepuku Ward,,,175.409282,-38.036452,8,00:00.0,161,131,24,1,3,1,1,0
1903,Pukeatua School,07 872 4862,07 872 4300,office@pukeatuaschool.co.nz,John McLean ,http://www.pukeatuaschool.co.nz,Arapuni Road,,Pukeatua,Arapuni Road RD 1,,Pukeatua,3880,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waipa District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Rotongata,Kakepuku Ward,,,175.558006,-38.064767,8,00:00.0,87,64,16,2,4,1,0,0
1904,Pukehina School,07 533 3869,07 281 1093,office@pukehina.school.nz,Roger Reid,http://pukehina.school.nz,1762 Old Coach Road,,Pukehina,1762 Old Coach Road RD 6,,Te Puke,3186,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,East Coast,Waiariki,Pongakawa,Maketu-Te Puke Ward,99086,Te Puke Community of Learning,176.542846,-37.846061,1,00:00.0,16,2,11,3,0,0,0,0
1905,Pukemiro School,07 828 4769,07 828 4969,office@pukemiro.school.nz,Wendy Sheridan-Smith,http://www.pukemiroschool.co.nz,John Street,Pukemiro,Huntly,Cmb A8 RD 1,,Huntly,3771,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waikato Western Hills,Huntly Ward,,,175.033745,-37.62288,1,00:00.0,39,2,36,1,0,0,0,0
1906,Pukenui School (Te Kuiti),07 878 7727,,office@pukenui.school.nz,Raewyn Jackson,http://www.pukenui.school.nz,King Street West,,Te Kuiti,King Street West,,Te Kuiti,3910,Minor Urban Area,Full Primary,Not Applicable,State,Co-Educational,Waitomo District,Waikato Region,Hamilton,Waikato,Taranaki-King Country,Te Tai Hauauru,Te Kuiti,Te Kuiti Ward,99106,Waitomo Arotahi Kāhui Ako,175.160672,-38.341444,3,00:00.0,141,19,113,8,0,1,0,0
1907,Puketaha School,07 824 3870,,office@puketaha.school.nz,Geoffrey Booth,http://www.puketaha.school.nz/,Puketaha Road,Puketaha,Hamilton,Puketaha Road RD 1,,Hamilton,3281,Main Urban Area,Full Primary,Not Applicable,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Gordonton,Hukanui-Waerenga Ward,99132,Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,175.32752,-37.720056,7,00:00.0,280,218,32,8,16,4,2,0
1908,Pukete School,07 849 4352,07 849 4285,office@pukete.school.nz,Gavin Oliver,http://www.puketeschool.co.nz,Pukete Road,Pukete,Hamilton,Pukete Road,Pukete,Hamilton,3200,Main Urban Area,Contributing,Not Applicable,State,Co-Educational,Hamilton City,Waikato Region,Hamilton,Waikato,Hamilton West,Hauraki-Waikato,Pukete,West Ward,99132,Te Pae Here Kāhui Ako Te Raki Rāwhiti o Kirikiriroa,175.240436,-37.745144,5,00:00.0,443,268,112,13,41,8,1,0
1911,Puriri School,07 868 1031,07 868 1031,office@puriri.school.nz,Jaimee Price,http://puririschool.com,Puriri Valley Road,,Thames,16 Puriri Valley Road RD 1,,Thames,3578,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Hikuai,Thames Ward,99087,Thames Kauaeranga Community of Learning,175.639129,-37.22933,8,00:00.0,36,26,8,1,0,1,0,0
1912,Te Puru School,07 868 2747,,office@tepuru.school.nz,Michael Friis,http://www.tepuru.school.nz,507 Thames Coast Road,,Te Puru,507 Thames Coast Road RD 5,,Thames,3575,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Thames-Coromandel District,Waikato Region,Hamilton,Waikato,Coromandel,Hauraki-Waikato,Te Puru-Thornton Bay,Thames Ward,,,175.519804,-37.04159,4,00:00.0,160,101,47,3,4,1,4,0
1916,Pyes Pa Road School,07 543 0064,07 543 0938,administration@pyespa.school.nz,Blake Carlin,http://www.pyespa.school.nz,Pyes Pa Road,,Pyes Pa,Pyes Pa Road RD 3,,Tauranga,3173,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Western Bay of Plenty District,Bay of Plenty Region,Rotorua,Bay of Plenty/Waiariki,Bay of Plenty,Waiariki,Kaimai,Kaimai Ward,99085,Tauranga Peninsula Community of Learning,176.125865,-37.81925,8,00:00.0,272,192,46,11,5,12,6,0
1917,Te Wharekura o Rakaumangamanga,07 828 9013,07 828 8080,jodie@rakaumanga.school.nz,John Heremia,http://www.rakaumanga.school.nz,26 Mcdiarmid Crescent,,Huntly,26 Mcdiarmid Crescent,,Huntly,3700,Minor Urban Area,Composite,Kura Kaupapa Maori,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Huntly West,Huntly Ward,99084,Tainui Kāhui Kura Community of Learning,175.145792,-37.555905,1,00:00.0,464,1,463,0,0,0,0,0
1919,Te Kura o Rangiriri,07 826 3654,07 826 3652,tari@rangiririkura.school.nz,Melissa Kani,,39 Rangiriri Road,,Rangiriri,39 Rangiriri Road RD 2,,Te Kauwhata,3782,Rural Area,Full Primary,Not Applicable,State,Co-Educational,Waikato District,Waikato Region,Hamilton,Waikato,Waikato,Hauraki-Waikato,Waerenga,Whangamarino Ward,99084,Tainui Kāhui Kura Community of Learning,175.132757,-37.429858,1,00:00.0,15,0,15,0,0,0,0,0
